field.gps.latitude,field.gps.longitude,field.gps.altitude
39.9558367232,116.312344612,54.787
39.9558371208,116.312332788,54.779
39.9558373907,116.312320924,54.789
39.9558377527,116.312309313,54.775
39.9558381453,116.312297881,54.786
39.9558384327,116.312286364,54.76
39.9558387937,116.312274929,54.776
39.9558391608,116.312263565,54.777
39.955839577,116.312252176,54.804
39.955839904,116.312240998,54.816
39.9558402613,116.312229804,54.827
39.9558406128,116.312218541,54.791
39.9558409005,116.312207514,54.798
39.9558412025,116.312196522,54.812
39.9558415417,116.312185319,54.784
39.9558417947,116.312174338,54.788
39.9558421567,116.312163289,54.792
39.955842392,116.312152244,54.802
39.9558425223,116.312141234,54.773
39.9558428225,116.312130234,54.761
39.9558431252,116.312119192,54.772
39.9558432532,116.312108105,54.776
39.9558435935,116.312097158,54.768
39.9558438848,116.312086102,54.77
39.9558440405,116.312075037,54.756
39.9558442298,116.312064003,54.756
39.9558444273,116.31205306,54.767
39.9558447177,116.312041981,54.76
39.9558448532,116.312030963,54.794
39.9558450828,116.312019891,54.785
39.9558452505,116.312008857,54.787
39.9558454357,116.311997877,54.784
39.9558456538,116.311986899,54.787
39.955845905,116.31197581,54.804
39.9558460435,116.311964869,54.787
39.9558462218,116.31195386,54.788
39.9558463945,116.311942883,54.793
39.9558466865,116.311931919,54.774
39.9558467395,116.311920905,54.796
39.9558469462,116.311909906,54.802
39.9558471188,116.311898874,54.804
39.9558472672,116.311887786,54.806
39.95584745,116.31187681,54.802
39.9558475775,116.311865656,54.812
39.955847714,116.311854477,54.817
39.9558479253,116.311843413,54.823
39.9558480422,116.311832329,54.815
39.9558481957,116.311821109,54.808
39.9558484937,116.311809907,54.794
39.955848561,116.311798652,54.805
39.9558487278,116.311787342,54.792
39.9558489457,116.311776011,54.808
39.9558490798,116.311764688,54.785
39.9558492653,116.31175321,54.786
39.9558494275,116.311741851,54.785
39.955849493,116.311730298,54.771
39.9558496235,116.311718697,54.762
39.9558498698,116.311707188,54.776
39.9558501425,116.311695641,54.789
39.9558502922,116.311684013,54.782
39.9558505765,116.311672354,54.767
39.9558509023,116.311660559,54.78
39.9558511858,116.311648733,54.781
39.9558514288,116.311636984,54.783
39.9558518178,116.311625111,54.798
39.9558521977,116.311613255,54.805
39.955852584,116.311601373,54.813
39.9558528818,116.311589375,54.804
39.9558533205,116.311577427,54.805
39.9558536512,116.311565349,54.791
39.955854029,116.311553289,54.791
39.9558544495,116.311541255,54.796
39.9558549028,116.311529145,54.795
39.9558553155,116.311517011,54.802
39.9558557515,116.311504893,54.798
39.955856093,116.31149281,54.801
39.9558566432,116.311480664,54.803
39.9558569825,116.311468492,54.786
39.9558572668,116.31145642,54.772
39.9558576008,116.311444322,54.75
39.9558579848,116.311432154,54.76
39.9558585482,116.311420109,54.78
39.9558588632,116.311407957,54.761
39.9558591995,116.31139592,54.759
39.955859618,116.311383787,54.75
39.955860007,116.311371744,54.76
39.9558603117,116.311359619,54.746
39.955860734,116.311347721,54.763
39.9558611642,116.311335621,54.744
39.9558615583,116.311323641,54.748
39.9558618765,116.311311641,54.759
39.9558623295,116.311299695,54.772
39.955862716,116.311287707,54.779
39.9558631033,116.311275785,54.781
39.955863513,116.31126376,54.764
39.9558638172,116.311251908,54.773
39.9558641863,116.311240067,54.79
39.9558644537,116.311228173,54.792
39.9558647613,116.311216182,54.794
39.9558650773,116.311204337,54.813
39.9558653707,116.311192479,54.802
39.9558656675,116.311180602,54.809
39.9558659873,116.311168844,54.806
39.9558663948,116.311157191,54.805
39.9558667068,116.311145565,54.8
39.955867005,116.311133888,54.803
39.9558673035,116.311122486,54.804
39.955867628,116.311111088,54.809
39.9558680415,116.311099719,54.823
39.955868329,116.31108836,54.791
39.955868624,116.311077258,54.818
39.9558688858,116.311066039,54.813
39.9558693157,116.311054964,54.834
39.955869513,116.311043959,54.81
39.9558697892,116.311032892,54.804
39.9558699933,116.311022149,54.802
39.9558703872,116.311011316,54.801
39.9558703545,116.311000462,54.818
39.9558706928,116.310989825,54.79
39.955871049,116.310979435,54.804
39.955871434,116.310968893,54.798
39.9558713885,116.310958095,54.775
39.9558713568,116.310947937,54.799
39.955871551,116.310937548,54.777
39.955871821,116.310927337,54.834
39.955871565,116.310916749,54.757
39.9558713015,116.310906662,54.793
39.9558720117,116.310897135,54.848
39.9558720448,116.31088691,54.849
39.955871707,116.31087695,54.764
39.955872347,116.310867569,54.81
39.955871736,116.310857418,54.715
39.9558721665,116.310848032,54.743
39.9558729768,116.310839134,54.815
39.9558726995,116.310829776,54.829
39.9558725038,116.310821526,54.9
39.9558716077,116.310811912,54.812
39.9558723553,116.310803882,54.89
39.9558739845,116.310795183,54.835
39.9558732953,116.310786448,54.787
39.9558725552,116.31077803,54.699
39.9558738918,116.310770558,54.815
39.9558733798,116.310762392,54.757
39.9558740437,116.310755381,54.832
39.9558726473,116.31074735,54.814
39.9558725537,116.310740723,54.914
39.9558722432,116.310733396,54.864
39.9558725998,116.310726592,54.881
39.9558724975,116.310719716,54.908
39.9558719637,116.310712671,54.867
39.9558717307,116.310705683,54.85
39.955871424,116.310699643,54.914
39.9558707033,116.310692905,54.868
39.9558708603,116.310686513,54.81
39.9558705827,116.31068093,54.853
39.9558708845,116.310674239,54.744
39.9558704623,116.310668816,54.707
39.955869222,116.310662719,54.671
39.9558706485,116.310657607,54.795
39.9558690847,116.310651803,54.737
39.9558693477,116.310646712,54.763
39.9558701787,116.310641629,54.862
39.9558699638,116.310636622,54.794
39.955869267,116.310631565,54.773
39.955869721,116.310626686,54.834
39.9558695602,116.310622064,54.776
39.9558695207,116.310617419,54.789
39.9558694705,116.310612826,54.791
39.9558691878,116.310608391,54.786
39.9558693253,116.310603801,54.707
39.9558693905,116.310600006,54.856
39.9558695287,116.310595702,54.719
39.9558695003,116.310591831,54.908
39.9558694828,116.310587999,54.778
39.9558694487,116.310584357,54.761
39.9558693922,116.310580987,54.845
39.9558694955,116.310577366,54.868
39.9558696018,116.310573856,54.881
39.955869493,116.310570463,54.807
39.9558695132,116.310567144,54.837
39.9558693927,116.310563894,54.799
39.955869561,116.310560699,54.806
39.9558696965,116.310557755,54.828
39.9558693975,116.310554701,54.823
39.9558697802,116.310551991,54.816
39.9558697272,116.310549328,54.746
39.955869746,116.310546578,54.758
39.9558698473,116.310543835,54.758
39.9558700805,116.310541069,54.768
39.9558701685,116.310538427,54.786
39.9558702395,116.310535743,54.803
39.9558703803,116.310533194,54.803
39.9558704965,116.310530628,54.804
39.9558705297,116.310528139,54.808
39.9558708118,116.310525645,54.819
39.9558708702,116.3105232,54.819
39.9558711535,116.310520733,54.811
39.9558713203,116.310518509,54.866
39.9558714262,116.310515961,54.81
39.9558716958,116.310513523,54.819
39.9558717745,116.31051121,54.797
39.9558721025,116.310508902,54.787
39.9558722523,116.310506442,54.808
39.9558724362,116.310504207,54.803
39.9558725843,116.310501798,54.788
39.9558726873,116.31049943,54.822
39.9558729588,116.310497045,54.789
39.9558731785,116.310494871,54.825
39.9558735302,116.310492668,54.809
39.9558737755,116.310490327,54.821
39.955873966,116.310488102,54.841
39.9558742142,116.310485803,54.803
39.9558744023,116.31048356,54.818
39.9558746643,116.310481184,54.838
39.9558748568,116.310478752,54.816
39.9558752358,116.310476201,54.838
39.9558756512,116.31047343,54.818
39.955875923,116.310470461,54.847
39.9558765453,116.310467304,54.846
39.9558770565,116.310463974,54.82
39.9558774558,116.310460432,54.822
39.9558779015,116.310456559,54.764
39.955878295,116.310452726,54.834
39.955878634,116.310448746,54.829
39.9558791735,116.31044462,54.8
39.955879736,116.310440201,54.834
39.9558802435,116.310435849,54.812
39.9558807822,116.310431368,54.811
39.9558812053,116.310426817,54.836
39.9558817575,116.310422174,54.836
39.955882308,116.310417446,54.825
39.9558827557,116.310412677,54.803
39.955883236,116.310407783,54.819
39.9558838275,116.310402837,54.819
39.9558844732,116.310397785,54.829
39.9558849498,116.310392685,54.855
39.9558855378,116.310387557,54.831
39.9558861075,116.310382528,54.829
39.95588658,116.310377475,54.827
39.9558870428,116.310372456,54.82
39.9558876678,116.310367476,54.828
39.9558881417,116.310362465,54.82
39.9558886723,116.31035754,54.827
39.955889243,116.31035259,54.838
39.9558898555,116.310347681,54.802
39.9558903343,116.310342891,54.819
39.9558909005,116.310338316,54.82
39.9558914893,116.310333834,54.816
39.9558920817,116.310329494,54.828
39.9558928182,116.310325396,54.856
39.9558934763,116.310321251,54.816
39.9558942633,116.310317245,54.816
39.9558950208,116.310313369,54.802
39.9558958007,116.31030967,54.816
39.9558966218,116.310306005,54.807
39.9558975303,116.310302539,54.815
39.955898384,116.310299143,54.819
39.9558992508,116.310295936,54.813
39.9559003468,116.310292864,54.813
39.9559014125,116.310289914,54.817
39.955902465,116.310287121,54.824
39.9559036147,116.31028437,54.807
39.9559047927,116.310281756,54.804
39.9559059488,116.310279316,54.82
39.9559073688,116.310276964,54.819
39.9559085577,116.310274744,54.805
39.9559099392,116.310272552,54.811
39.955911252,116.310270596,54.813
39.9559126877,116.310268649,54.837
39.9559141637,116.310266842,54.827
39.9559157342,116.310265024,54.815
39.9559172007,116.310263253,54.821
39.9559187998,116.310261709,54.824
39.95592043,116.310260186,54.824
39.9559221492,116.310258802,54.826
39.9559237873,116.310257408,54.833
39.955925596,116.310256033,54.817
39.9559272877,116.31025493,54.821
39.9559289682,116.310253774,54.844
39.9559306888,116.31025326,54.888
39.9559323555,116.310252234,54.89
39.9559342607,116.310251347,54.903
39.9559361383,116.310250432,54.894
39.9559381417,116.310249621,54.874
39.9559400075,116.310248822,54.879
39.955942041,116.310248071,54.865
39.9559440897,116.310247231,54.868
39.9559462122,116.310246616,54.865
39.955948606,116.310245684,54.789
39.9559507782,116.310244856,54.858
39.9559533327,116.310244482,54.836
39.9559558368,116.310243863,54.858
39.9559584238,116.31024311,54.764
39.9559611813,116.310242608,54.769
39.9559638462,116.310242172,54.806
39.955966693,116.310241645,54.788
39.9559696255,116.310241257,54.76
39.9559725972,116.310240706,54.724
39.9559756472,116.310240291,54.677
39.9559787283,116.310240329,54.83
39.9559819232,116.31024003,54.821
39.9559851105,116.310239798,54.797
39.9559885115,116.310239593,54.81
39.9559918483,116.310239301,54.796
39.9559951578,116.310239158,54.779
39.95599862,116.310238892,54.784
39.9560021178,116.310238879,54.801
39.9560056482,116.310238826,54.762
39.956009378,116.310238674,54.796
39.956012959,116.310238629,54.783
39.9560165187,116.310238525,54.777
39.9560202312,116.310238478,54.852
39.956024063,116.310238364,54.805
39.9560278778,116.310238447,54.86
39.9560316495,116.310238473,54.871
39.956035476,116.310238238,54.887
39.956039502,116.31023829,54.879
39.9560434858,116.310238082,54.886
39.9560476435,116.310238042,54.86
39.9560517363,116.310237912,54.864
39.9560560273,116.310238119,54.831
39.9560602087,116.310238081,54.821
39.9560645598,116.310238016,54.817
39.9560689405,116.310238008,54.793
39.9560733603,116.310238021,54.821
39.9560778172,116.310237801,54.824
39.956082295,116.310237798,54.828
39.9560868687,116.310237768,54.83
39.9560914788,116.310237873,54.849
39.9560961215,116.310237805,54.848
39.9561007698,116.310237692,54.857
39.956105538,116.310237771,54.836
39.9561103163,116.310237749,54.824
39.9561149788,116.310237735,54.837
39.9561196537,116.310237721,54.838
39.9561245028,116.310237718,54.809
39.9561291468,116.310237694,54.842
39.9561339147,116.310237775,54.823
39.9561386435,116.310237652,54.847
39.956143492,116.310237793,54.822
39.9561482455,116.310237776,54.834
39.9561530573,116.310237881,54.846
39.9561579385,116.310237843,54.831
39.95616278,116.310238006,54.831
39.9561675887,116.310237907,54.839
39.9561724155,116.310238099,54.852
39.9561772608,116.310238076,54.899
39.9561822213,116.310238332,54.843
39.9561870738,116.310238479,54.868
39.9561919905,116.310238603,54.856
39.9561968893,116.310238892,54.863
39.9562017917,116.310239126,54.867
39.9562067502,116.310239297,54.85
39.9562116693,116.310239562,54.869
39.9562166317,116.310239847,54.903
39.956221618,116.310240232,54.826
39.9562266573,116.310240469,54.823
39.9562315303,116.310240662,54.885
39.956236582,116.310241078,54.851
39.9562416065,116.310241443,54.831
39.9562466392,116.310241471,54.847
39.9562516662,116.310241748,54.841
39.9562567568,116.310241807,54.832
39.9562618432,116.310241963,54.838
39.9562668802,116.310242488,54.815
39.95627207,116.31024236,54.766
39.9562770452,116.310242288,54.794
39.9562822137,116.310242584,54.779
39.9562873622,116.310242458,54.771
39.9562924242,116.310242773,54.771
39.9562976173,116.310242727,54.763
39.9563027147,116.310242769,54.763
39.956307836,116.310242877,54.77
39.95631296,116.3102427,54.78
39.9563181662,116.310242702,54.768
39.9563232788,116.310242445,54.774
39.9563283715,116.310242367,54.788
39.9563336035,116.310242235,54.769
39.9563386663,116.310242075,54.775
39.9563438178,116.31024184,54.756
39.9563488213,116.310241696,54.778
39.9563539267,116.31024155,54.754
39.9563589728,116.310241431,54.744
39.9563638868,116.310241226,54.763
39.9563688797,116.310241011,54.754
39.9563737113,116.310240844,54.759
39.956378528,116.310240758,54.769
39.9563833677,116.310240605,54.762
39.9563881152,116.310240297,54.766
39.9563927345,116.310240062,54.79
39.9563973862,116.31024006,54.776
39.956401983,116.310239769,54.789
39.9564066337,116.310239661,54.761
39.9564110742,116.310239389,54.78
39.9564155507,116.310239209,54.777
39.9564200748,116.310238835,54.77
39.9564244238,116.310238683,54.768
39.9564287247,116.310238465,54.773
39.9564330938,116.310238244,54.77
39.9564373728,116.310238294,54.759
39.9564416032,116.310238104,54.75
39.9564457927,116.310237897,54.747
39.9564499978,116.310237649,54.774
39.9564540623,116.310237453,54.842
39.9564583397,116.310237464,54.776
39.9564624225,116.310237295,54.778
39.9564665468,116.310237154,54.775
39.956470598,116.310236984,54.778
39.956474553,116.310236969,54.787
39.956478571,116.310236818,54.763
39.9564824373,116.310236892,54.779
39.956486399,116.310236547,54.753
39.9564900697,116.310236642,54.778
39.9564938993,116.310236484,54.777
39.956497621,116.31023649,54.774
39.956501223,116.310236389,54.761
39.956504808,116.310236391,54.756
39.9565084023,116.310236064,54.754
39.9565122073,116.310236631,54.688
39.9565157325,116.31023633,54.71
39.9565193385,116.310236389,54.68
39.956522911,116.31023642,54.664
39.956526428,116.310236302,54.669
39.9565298743,116.310236433,54.657
39.9565333308,116.310236271,54.687
39.956536919,116.310236441,54.633
39.9565403585,116.310236421,54.66
39.9565438312,116.310236314,54.655
39.9565471253,116.310236264,54.724
39.9565506112,116.310236203,54.705
39.9565540513,116.31023629,54.713
39.9565573355,116.31023643,54.728
39.9565607545,116.310236381,54.739
39.956564154,116.310236543,54.733
39.9565675557,116.310236701,54.714
39.9565709223,116.310236539,54.734
39.956574272,116.310236412,54.724
39.9565775028,116.310236697,54.744
39.9565809772,116.310237179,54.701
39.956584302,116.31023707,54.686
39.956587628,116.310236892,54.708
39.9565909867,116.310236818,54.714
39.9565942013,116.310237317,54.685
39.9565973518,116.310237096,54.732
